book,chapter,verse,huggingface_image_link,current_text,corrected_text,uncertainty_count,uncertainties,images
acts,1,20,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000008.png,כִּי נִכְתָּב בְּסֵפֶר תִּלָּה הֵרֵא תֵּרָדִים נְשַׁמָּה בְּאָהֳלֵיהֶם אַל־תְּהִי יוֹשֵׁב פְּקֻדָּתוֹ יַחַ אַחֵר,כִּי נִכְתָּב בְּסֵפֶר תהילים תהי טירתם נְשַׁמָּה בְּאָהֳלֵיהֶם אַל־והִי יוֹשֵׁב ופְּקֻדָּתוֹ יַקחַ אַחֵר,1,some letters unclear due to print quality,000008.png
acts,2,30,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000018.png,וּבְהִיּוֹתוֹ נָבִיא וְיָדַעְתּוֹ נִשְׁבַּע יְהוָֹה לוֹ אֵמַן לֹא יִשֵּׁב מִפְּרִי בִטְנוֹ כְּבָשָׂר לִנְקוֹם אֶת־וּמַשִּׁית עָלֵישׁ לְכַסּוֹתוֹ,וּבְהִיּוֹתוֹ נָבִיא וְבדַעְתּוֹ כי נִשְׁבַּע יְהוָֹה לוֹ אמת לֹא יִשֵּׁוב ממנה מִפְּרִי בִטְנוֹ כְּבָשָׂר להקים אֶת־המַשִּׁיח ולשית לכסא לו,2,וּמַשִּׁית unusual form | עָלֵישׁ uncertain vocalization,000018.png
acts,3,5,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000026.png,וְהִנֵּה יִתְאַל אֱלֹיוֹ״ם חֹשֵׁב לִקַּחַת מֵאוּמְרָה מֵאָתֵם,וְהוא יִחל אֱלֹיהם חֹשֵׁב לִקַּחַת מֵאוּמְה מֵאָתֵם,1,verse 5: word boundaries unclear due to image quality,"000026.png, 000028.png"
acts,3,10,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000026.png,וַיְדַעֻהוּ כִּי הוּא הוּא אֲשֶׁר יָשַׁב אֶצְרְקֵהוּ הַנָּשָׁר וְהַיָּפֶה שַׁעַר הַמִּקְדָּשׁ הַנִּקְרָא הַמְּהֻדָּר עַל־אֲשֶׁר קָרָהוּ,וַיְדַעֻוהוּ כִּי זה הוּא אֲשֶׁר יָשַׁב אֶל־צְדקֵה בשַׁעַר ההיכל שפירה וימלאו תמהון וחרדה עַל־אֲשֶׁר קָרָהוּ,1,verse 10: word 'אוֹר' uncertain - may be 'אֲשֶׁר',"000026.png, 000028.png"
acts,3,11,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000026.png,וּבְהִתְאַפֵּס בַּפִּסֵּחַ אֲשֶׁר נִרְפָּא רַבַּבְפָה וִיהוֹיָכֵן נָתַן אֱלֹהִים כָּל־הָעָם בָּאָלֹם נִקְרָא שְׁלֹמֹה תִּתְמַהּוּ,והפִּסֵּחַ הנִרְפָּא באחו אותו בכיפה ויוחנן וירץ אליהם כָּל־הָעָם בָּאָולֹם הנִקְרָא שְׁלֹמֹה ויתְמַהּוּ,2,verse 11: initial word difficult to parse due to ornamented letter | verse_11_middle_section,"000026.png, 000028.png"
acts,3,20,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000032.png,אֲשֶׁר יָבוֹא עֵת דִּוְשָׁן וְהִתְחַלְּדוּתִיכֶם וְהִתִּי עוֹלָם בַּחִיקִי הַמְּבֹארִים עַשְׂבֵּעַ שְׁמָעוֹת אֶת־פְּנֵי־אֱלֹהִים וְיִשְׁלַח אֶת יֵשׁוּעַ אֲשֶׁר מִקֶּדֶם מִקְדָּם אֶת־יֵשׁוּעַ הַנֵּקְשָׁע,אֲשֶׁר אם תבוֹא עֵת רויה חליפתנו וחיי עוֹלָם בהקיץ תמונתו ונשבעה שְׂבֵּעַ שְׁמָחוֹת אֶת־פְּנֵי־אֱלֹהִים וְיִשְׁלַח אותו אֲשֶׁר מִקֶּדֶם מוכן אֶת־יֵשׁוּעַ המשיח,1,verse_20_complex_vocalization,000032.png
acts,3,22,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000032.png,וּמֹשֶׁה אָמַר לַאֲבוֹתֵינוּ כִּי נָבִיא לָכֶם מִקֶּרֶבְכֶם יָקִים יְהוָֹה אֱלֹהֵיכֶם מֵאֲחֵיכֶם בְּמוֹנִי יֵלֵךְ הִשְׁמָעוּ וְכֹל אֲשֶׁר יְדַבֵּר אֲלֵיכֶם,וּמֹשֶׁה אָמַר לַאֲבוֹתֵינוּ כִּי נָבִיא לָכֶם מִקֶּרֶבְכֶם יָקִים יְהוָֹה אֱלֹהֵיכֶם מֵאֲחֵיכֶם כמוֹנִי אליו תשמעון ככֹל אֲשֶׁר יְדַבֵּר אֲלֵיכֶם,1,verse_22_long_complex,000032.png
acts,6,7,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000064.png,וַדְּבַר אֱלֹהִים בָּדָה לְרַבּוֹת וּמִסְפַּר הַתַּלְמִידִים בִּירוּשָׁלָיִם רַב שׁוֹמְעִים מְאוֹד וְקָהָל רַב שׁוֹמְעִים,וַדְּבַר אֱלֹהִים פרה ורבה וּמִסְפַּר הַתַּלְמִידִים בִּירוּשָׁלָיִם מאד מאד וְקָהָל רַב שׁוֹמְעִים היו לאמונה,1,Word boundaries in verse 7 are challenging due to printing quality,000064.png
acts,7,30,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000076.png,וּבִמְלֹאת שִׁתִּים עֹוד אַרְבָּעִים שָׁנָה נִרְאָה אֵלָיו בְּמַלְאַךְ הָ' סִינָי מִדְבַּר יְהוָה כְּלַפַּת אֵשׁ מֵהַסְּנֶה,ובהמלא עֹוד אַרְבָּעִים שָׁנָה נִרְאָה אֵלָיו במִדְבַּר הר סִינָי מַלְאַךְ יְהוָה בלבת אֵשׁ מתוך מֵהַסְּנֶה,2,"וּבִמְלֹאת - first word unclear, possible reading | שִׁתִּים - second word unclear",000076.png
acts,7,51,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000084.png,עַם קְשֵׁה עֹרֶב עַרְלֵי לֵב וְעַרְלֵי אָזְנַיִם אַתֶּם תָּמִיד מְרִיתֶם אֶת־רוּחַ הַקֹּדֶשׁ כָּכֶם כַּאֲבוֹתֵיכֶם,עַם קְשֵׁה עֹרֶב עַרְלֵי לֵב וְעַרְלֵי אָזְנַיִם אַתֶּם תָּמִיד מְרִיתֶם אֶת־רוּחַ הַקֹּדֶשׁ כָּכֶם כַּאֲבוֹתֵיכֶם,1,עֹרֶב - possible עֹרֶף,000084.png
acts,7,54,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000084.png,וּבְשָׁמְעָם אֶת־הָאֵלֶּה נִשְׁוֹרוּ בִּלְבוֹתָם וְחָרְקוּ עָלָיו שִׁנֵּימוֹ,וּבְשָׁמְעָם אֶת־הָאֵלֶּה נִשְׁוֹרוּ כלְבוֹתָם וְחָרְקוּ עָלָיו שִׁנֵּימוֹ,1,נִשְׁוֹרוּ - unusual form,000084.png
acts,9,28,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000108.png,וַיְהִי אִתָּם בָּא וְיוֹצֵא בִּירוּשָׁלִַם יְשׁוּעַ בַּשֵּׁם יְשׁוּעַ,וַיְהִי אִתָּם בָּא וְיצֵא בִּירוּשָׁלִַים ובבטחון מדבר בַּשֵּׁם יְשׁוּעַ,1,Verse 28: Final word may be יֵשׁוּעַ - partial obscurity,000108.png
acts,9,34,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000108.png,וַיֹּאמֶר לוֹ פֶטְרוֹס אֵינֵס יְרַפָּא אֹתְךָ יְשׁוּעַ הַמָּשִׁיחַ קוּם הַצִּיעָה וַיָּבֶר עָרְשְׂךָ וַיָּקָם בְּרֶגַע,וַיֹּאמֶר לוֹ כיפה אניא יְרַפָּא אֹתְךָ יְשׁוּעַ הַמָּשִׁיחַ קוּם הַצִּיעָה ורבד עָרְשְׂךָ וַיָּקָם בְּרֶגַע,1,Verse 34: הַצִּיעָה - vowel on צ needs verification,000108.png
acts,11,12,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000130.png,וַתֹּאמֶר אֵלַי הָרוּחַ לָהֵלֶךְ אִתָּם וְלֹא לְנַבֵּר וַיָּבֹאוּ אִתִּי גַּם שֵׁשָּׁה אַחִים הָאֵלֶּה וַנָּבוֹא בְּבֵית הָאִישׁ,וַתֹּאמֶר אֵלַי הָרוּחַ לָהֵלֶךְ אִתָּם וְלֹא לְנַכר וַיָּבֹאוּ אִתִּי גַּם שֵׁשָּׁה אַחִים הָאֵלֶּה וַנָּבוֹא בְּבֵית הָאִישׁ,1,לְנַבֵּר,000130.png
acts,11,26,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000134.png,וּבְאֲשֶׁר מָצָא הֲבִיאוֹ אָנְטִיּוֹכְיָא וַיְהִי כִּי כָל־הַשָּׁנָה נוֹסָדוּ יָחַד בַּקְהִלָּה וַיְלַמְּדוּ עַם רַב וְיִקָּרְא לְתַלְמִידִים בְּאַנְטִיּוֹכְיָא בַּתְחִלָּה בְּרָאשׁוֹנָה נִבְרָא גְּבָרִים,וּכאֲשֶׁר מָצָאו הֲבִיאוֹ באָנְטִיּוֹכְיָא וַיְהִי־כִּי כָל־הַשָּׁנָה נוֹסָדוּ יָחַד בַּקְהִלָּה וַיְלַמְּדוּ עַם רַב וְיִקָּרְאו לְתַלְמִידִים בְּאַנְטִיּוֹכְיָא בְּרָאשׁוֹנָה נצרים,1,וּבְאֲשֶׁר - second letter may have different nikud,000134.png
acts,13,5,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000148.png,וּכְמוֹאָם לְשַׁלְמִיר בְּשָׂרוֹ אֶחָד דִּבֵּר אֱלֹהִים פְּרֵדוֹת הַתּוֹרָהוְ וְיוֹנִי בְּשָׁתְיהֶם,וּבבוֹאָם לְשַׁלְמִין בְּשָׂרוֹ את־דִּבֵּר אֱלֹהִים בעדות היהודים ויהי יוחנן משרתם,2,verse 5: third word unclear - may be לְשַׁלְמִיר or similar | verse 5: word division uncertain in middle section,000148.png
acts,13,6,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000148.png,וּכְאַשֶׁר יִתְחַלֵּק בְּכָל הָא עַד פָּפוֹס יִמְצְאוּ אֶת מָה רַב אֶחָד נָבִיא שֶׁקֶר וִיהוּדִי נִשְׁבָּה בַּר יֵשֻׁע,וּכְאַשֶׁר התהלכו בְּכָל־הָאי עַד פָּפוֹס ויִמְצְאוּ אֶת מהגה אֶחָד נָבִיא שֶׁקֶר יהוּדִי ושמו בַּר יֵשֻׁוע,2,verse 6: first word after number may be וּכְאַשֶׁר | verse 6: word בַּר at end unclear - could be different vocalization,000148.png
acts,13,7,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000148.png,אֲשֶׁר הָיָה אֵת סֶרְגִיוֹס פָּולוֹס הָאַנְשִׁי גָּדוֹל אִישׁ נָכוֹן וָהוּא קָרָא לְבַרְנַבָא וּלְשָׁאוּל בַּקֵּשׁ לִשְׁמוֹעַ אֶת דְּבַר אֱלֹהִים,אֲשֶׁר הָיָה אֵת סֶרְגִיוֹס פָּולוֹס והוא יועץ גָּדוֹל ואִישׁ נָבוֹן זה קָרָא לְבַרְנַבָא וּלְשָׁאוּל ויבַקֵּשׁ לִשְׁמוֹעַ אֶת־דְּבַר אֱלֹהִים,2,verse 7: several words have uncertain vocalization | verse 7: סֶרְגִיוֹס appears to be a transliteration,000148.png
acts,13,8,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000148.png,וּבַכֹּל עֵלְמָא אֱלְמֻסְיַא הוּא גַּם שְׁמוֹ כִּי כֵן בְּתַרְגּוּם שְׁמוֹ הַמְבַקֵּשׁ לְשַׁבֵּר אֶת יוֹסֶי הַגָּדוֹל מֵהָאֱמוּנָה,ויקם עליהם אלימשיח המהגה כִּי כֵן מתורגם שְׁמוֹ מְבַקֵּשׁ לשובב אֶת־יועץ הַגָּדוֹל מֵאֱמוּנָה,2,verse 8: אֱלְמֻסְיַא is a transliteration and vocalization is uncertain | verse 8: several words have complex or unclear nikud,000148.png
acts,13,9,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000148.png,וְשָׁאוּל אֲשֶׁר גַּם הוּא נִקְרָא פָּולוֹס מַלֵּא רוּחַ הַקֹּדֶשׁ הַבֵּיט,וְשָׁאוּל אֲשֶׁר גַּם הוּא נִקְרָא פָּולוֹס מַלֵּא רוּחַ הַקֹּדֶשׁ הַבֵּיטו,1,verse 9: relatively clear but some nikud marks may be ambiguous,000148.png
acts,13,10,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000148.png,וַיֹּאמֶר אוֹ מָלֵא כָּל מִרְמָה וְכָל מַכְלִים אֱנִי עֶבֶד כָּל צֶדֶק לֹא תָחוּנֶת לְהַשְׁבֵּית אֶת דַּרְכֵי יְהוָֹה הַיְּשָׁרִים,וַיֹּאמֶר אוֹי מָלֵא כָּל־מִרְמָה וְתך בן־המַכְלִים אויב כָּל צֶדֶק לֹא תנוח לשובב אֶת־דַּרְכֵי יְהוָֹה הַיְּשָׁרִים,2,verse 10: several words have uncertain vocalization | verse 10: word divisions in middle section uncertain,000148.png
