book,chapter,verse,huggingface_image_link,current_text,corrected_text,uncertainty_count,uncertainties,images
hebrews,2,18,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000012.png,כִּי בַּאֲשֶׁר נִצַּג הַלְבָה בְעָנְיוֹ עָתָה יוּכַל צָעוּדִי לַחֲסוֹט,,5,"verse 18 word 3: 'הַלְבָה' - unusual form, transcribed as visible | verse 18 word 4: 'בְעָנְיוֹ' - transcribed as visible | verse 18 word 6: 'יוּכַל' - transcribed as visible | verse 18 word 7: 'צָעוּדִי' - unusual form, transcribed as visible | verse 18 word 8: 'לַחֲסוֹט' - transcribed as visible",000012.png
hebrews,4,3,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000018.png,כִּי־נָבוֹא בַּמְּנוּחָה אַתָּה אֲשֶׁר נֶאֱמָנוּ כַּאֲשֶׁר אָמַר אֲשֶׁר נִשְׁבַּעְתִּי בְּאַפִּי אִם־יָבֹאוּן אֶל־מְנוּחָתִי בַּעֲשׂוֹת נַפְשִׁית נִכְרָתָה גְנֵשׁוֹתָם,,1,"גְנֵשׁוֹתָם - unusual form, transcribed as visible",000018.png
hebrews,4,11,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000020.png,לָכֵן נִמַּהֵר לְבוֹא אֶל הַמְּנוּחָה וְאַל פָּרַשׁ אִישׁ יִשְׁנֶה לֶאֱשֶׁר יִבּוֹל בַּחֲטָאָה הַזֹאת בִּנְסוֹתָם,,1,Verse 11: 'יִבּוֹל' is unusual spelling; expected may differ but transcribing visible ink exactly,000020.png
hebrews,7,19,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000040.png,כִּי־דָבַר לֹא אַהַד בִּכְלָלָה תְּחוֹדָה וּבוֹא בְּמִקְוָמָה הָאֱמוּנָה הַטּוֹבָה בַּמַּקֹּמָה אֲשֶׁר בֵּית יַעֲקֹב אֵל־אֱלֹהִים,,1,verse_19_complex_vocalization,000040.png
hebrews,9,23,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000054.png,וְאַף כִּי הֻצְרַךְ אֲשֶׁר הַדְּמוּת אֲשֶׁר הַטִּיטִים בָּרַבְבָה הָעָלְתָה בְּרוּבָם אֵלֶּה אֲשֶׁר הֵן בַּשָּׁמַיִם יִזְכּוּ בִגְאוּתָם טוֹבִים בַּהֲמוֹנָה,,1,verse 23 has complex text with some difficult to read characters,000054.png
hebrews,10,23,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000064.png,כִּי נַחֲזִיק אֶת־תּוֹרַת הַקִּוּוּי וְלֹא נָמוּט כִּי נֶאֱמָן הוּא הַנֶּאֱמָרִיד,,1,verse 23: final word appears to be 'הַנֶּאֱמָרִיד' with unusual ending - possible printing artifact or non-standard form,000064.png
hebrews,11,21,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000074.png,בֶּאֱמוּנָה יַעֲקֹב בְּמוֹתוֹ בֵּרֵךְ כָּל־אִישׁ מִבְּנֵי יוֹסֵף וַיִּשְׁתָּחוּ יִשְׂרָאֵל עַל־רֹאשׁ (הַמַּטֶּה),,1,Parentheses around הַמַּטֶּה are visible in main text,000074.png
hebrews,11,35,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000078.png,נָשִׁים לָקְחוּ מֵתֵיהֶם אֶתְרוּם וַאֲחֵרִים הוּקְעוּ וְלֹא־יִקְשׁוּ אֶת־הַפְּלֵטָה לְמַצָא אֶת־תְּקוּמָה טוֹבָה מִכֵּן,,2,אֶתְרוּם (unusual form) | הוּקְעוּ (unclear vocalization),000078.png
hebrews,11,37,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000080.png,נִסְקָלוּ בָאֲבָנִים נִגְזְרוּ לִגְזָרִים נִסְּכוּ מֵהַב מִרְהַב מֵאֹנֵּה חֶרֶב שׁוֹטְטוּ צֵאן וְאֵינָב בְּעוֹדוֹת שֶׁעִיר צָאן וְאֵינָב בְּמַחֲסוֹר כָּל דָּבָר בֶּעָלֶה וְגַצְוּקָה מְעֻנִּים,,1,שׁוֹטְטוּ צֵאן - word boundaries unclear,000080.png
hebrews,11,40,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000080.png,עַל־כִּי־אֱלֹהִים רָאָה עָלֵינוּ דְּבַרָה־טוֹב לְטוֹבָה מִמָּקוֹם לְבַד־עָדֵינוּ בָּלָחֲתִם לֹא־יִכְלֶה בְּיַד־הַשְׁלֵמוּת,,2,דְּבַרָה־טוֹב - unclear word structure | בָּלָחֲתִם - possible vocalization issue,000080.png
hebrews,12,1,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000080.png,עַל כֵּן כִּי נַלְוֵי סְבִיכוּתֵינוּ עַנַן עֵדִים נָשִׂים בַּעֲלֵינוּ אֶת כָּל־נֹשֶׂא גַם אֶת הַחִטָּה אֲשֶׁר כָּל־עֵת דִּבְּקָה בָנוּ וּנְרֻצָה בְּמִשְׁרָד מֵרָץ אֶל־הַמִּלְחָמָה אֲשֶׁר עֲרוּכָה לָנוּ,,1,סְבִיכוּתֵינוּ - possible vocalization variation,000080.png
hebrews,12,13,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000084.png,פְּנוּ דֶּרֶךְ יְהוָֹה יִשַׁר בְּעֵרְבָה מְסִלָּה לֵאלֹהֵינוּ בַּם בּוֹ עִסָּחַת וְנִתְּנָה וְהַפַסַח כִּי אִם־רְפָא יִתֵּר,,1,verse_13_complex_layout,000084.png
hebrews,12,18,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000086.png,לֹא קְרַבְתֶּם לְהֹלוֹת בָּרָה וּבֹקְרִיָּה נִיל עָשָׁן וַעֲרָפֶל וּבַקְסִוּם וַפַּר כָּבֵד,,4,לְהֹלוֹת | בָּרָה | וּבֹקְרִיָּה | וּבַקְסִוּם,000086.png
hebrews,12,19,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000086.png,וְלֹא אֱהֹוקֹל הַשּׁוֹפָר הֲלוֹז וְקוֹל מְדַבְּרִים אֲשֶׁר יַעֲמִיד בְּחוֹק הַשֹּׁמְעִים וַיְאָמְרוּ אַל־דְּבַר לְפָנֵינוּ אֱלֹהִים בָּמוֹת,,3,אֱהֹוקֹל | הֲלוֹז | יַעֲמִיד,000086.png
hebrews,12,20,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000088.png,כִּי לֹא יָכְלוּ לְהַכִּיל מַה שֶּׁנֶּאֱמַר אִם־בְּהֵמָה אִם־אִישׁ יִגַּע בְּהַר יַד סָקֵל יִסָּקֵל (אוֹ יִדֶּה יֶרֶה,,2,verse 20: parenthesis after יִסָּקֵל - unusual placement | verse 20: possible incomplete verse - ends mid-phrase,000088.png
hebrews,12,21,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000088.png,וְגַם כָּל נָתְנָה הָיָא הַנִּרְאָה לְמֹשֶׁה מִלֹּא אֲנִי תּוֹדֵד וְרָעֵד,,2,"verse 21: נָתְנָה - unusual form, verified as transcribed | verse 21: תּוֹדֵד - double dalet verified",000088.png
hebrews,12,24,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000088.png,וְאֶל־אִישׁ בַּיִן וּכְעֵל בְּרִית חֲדָשָׁה יֵשׁוּעַ הַמַּשִּׁית וְאֶל־דַּם הַנָּזָה הַטּוֹבְקִים טוֹב מִדַּם הֶבֶל,,1,"verse 24: הַטּוֹבְקִים - unusual form, verified as transcribed",000088.png
hebrews,12,25,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000088.png,רָאוּ וְיִשְׁמְרוּ בֶּן הַמְדַבֵּר עֲלֵיכֶם אֲשֶׁר מִדַּבֵּר עֲלֵיכֶם אֲשֶׁר מִדַּבֵּר עֲלֵיכֶם כִּי אִם בָּאָרֶץ לֹא יִכְלוּ לָנוּס בְּמָאֵן יְחַדּוּ אוֹתוֹ אִם נִמְרֹד עַל־אֲשֶׁר מִדַּבֵּר אֵלֵינוּ מִן־הַשָּׁמַיִם מִדַּבֵּר אֵלֵינוּ,,1,verse 25: repetitive phrase structure - verified as written,000088.png
hebrews,13,9,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/hebrews/000092.png,כָּל־מִידֵי מִתְהַפֶּלְטִים וְהַזָּרִים לֹא תִּתְעָתְעוּ כִּי טוֹב בַּחֲנוֹנוֹת לְסַד לִבְּכֶם וְלֹא בְּמַאָכָלִים אֲשֶׁר לֹא הוֹעִילוּ לְהוֹלְכִים בָּהֶן,,1,verse 9: several words difficult to verify due to print quality,000092.png
john,1,15,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000004.png,יוֹחָנָן הָעֵד עָלָיו וַיִּצְעַק לֵאמֹר זֶה הוּא אֲשֶׁר אָמַרְתִּי בָּא וְלִפְנַי הָיָה כִּי רֹאשׁ לִי הָיָה בִּמְשָׁפְטֵי הָיָה,,1,Verse 15: Final phrase 'בִּמְשָׁפְטֵי הָיָה' - the word before הָיָה is difficult to read; appears to be בִּמְשָׁפְטֵי but vowel marks are unclear,000004.png
john,2,8,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000016.png,וַיֹּאבֵד אֲלֵיהֶם שַׁאֲבוּ עַתָּה וְהוֹבִילוּ לְכַל־הַמִּשְׁתֶּה נִכְלָאוֹ,,1,"נִכְלָאוֹ - Unusual form, possibly scribal variant",000016.png
john,2,10,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000018.png,וַיֹּאמֶר אֵלָיו כָּל־אִישׁ בָּרֹאשׁוֹנָה יִתֵּן טוֹב עַם וּכְאֲשֶׁר שָׁכְרוּ אַז הַמְּצֻיָּר נִצְּרַת נָצְרָתָה אַת־בֵּן הַטּוֹב עַד עָתָּה,,2,"Verse 10 line 2: 'הַמְּצֻיָּר' - unusual vocalization, verified as visible | Verse 10 line 2: 'נִצְּרַת' vs 'נִצְּרָת' - dagesh placement uncertain",000018.png
john,2,12,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000018.png,וְאַחֲרֵי לִירֵדֶד לִכְפַר נַחוּם הוּא וְאִמּוֹ וְאֶחָיו וְתַלְמִידָיו וְשָׁם הָיוּ יָמִים לֹא רַבִּים,,1,"Verse 12: 'לִירֵדֶד' - double dalet unusual, verified as visible",000018.png
john,2,15,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000018.png,וַיַּעַשׂ לוֹ שׁוֹט מֵחֲבָלִים וַיְשַׁלַּח כֻּלָּם מִכָּל־הַם גַּם אֶת־הַצֹּאן וְהַשְׁוָרִים וְשָׁבַר וִישַׁבֵּר אֶת־אַגְרוֹת הַמַּסְתְּרִים וְהָפַךְ שֻׁלְחֹנוֹתָם בַּעַד,,2,"Verse 15: 'מִכָּל־הַם' - unusual form, possibly 'מן־הַהֵיכָל' abbreviated | Verse 15: 'וִישַׁבֵּר' - second occurrence of breaking/shattering, verified",000018.png
john,3,7,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000024.png,אַל תִּתְמַהּ כִּי אֲבַדְתִּי נַעֲרִי לָכֶם אַתֶּם מְלַכְלֵכִים,,1,verse 7 appears to have non-standard wording,000024.png
john,3,13,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/john/000026.png,וְאִישׁ לֹא עָלָה אֶל־הַשָּׁמַיִם כִּי אִם אֲשֶׁר יָרַד מִן־הַשָּׁמַיִם אֲשֶׁר בַּשָּׁמָיִם אֲשֶׁר בַּשָּׁמַיִם הוּא בֶּן־הָאָדָם אֲשֶׁר בַּשָּׁמַיִם הוּא,,2,Verse 13: First phrase uncertain due to print quality - 'וְאִישׁ לֹא עָלָה' may have additional marks | Verse 13: Multiple occurrences of 'אֲשֶׁר בַּשָּׁמַיִם' - transcribed exactly as visible but unusual structure,000026.png
