book,chapter,verse,huggingface_image_link,current_text,corrected_text,uncertainty_count,uncertainties,images
acts,1,20,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000008.png,כִּי נִכְתָּב בְּסֵפֶר תִּלָּה הֵרֵא תֵּרָדִים נְשַׁמָּה בְּאָהֳלֵיהֶם אַל־תְּהִי יוֹשֵׁב פְּקֻדָּתוֹ יַחַ אַחֵר,,1,some letters unclear due to print quality,000008.png
acts,2,30,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000018.png,וּבְהִיּוֹתוֹ נָבִיא וְיָדַעְתּוֹ נִשְׁבַּע יְהוָֹה לוֹ אֵמַן לֹא יִשֵּׁב מִפְּרִי בִטְנוֹ כְּבָשָׂר לִנְקוֹם אֶת־וּמַשִּׁית עָלֵישׁ לְכַסּוֹתוֹ,,2,וּמַשִּׁית unusual form | עָלֵישׁ uncertain vocalization,000018.png
acts,3,5,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000026.png,וְהִנֵּה יִתְאַל אֱלֹיוֹ״ם חֹשֵׁב לִקַּחַת מֵאוּמְרָה מֵאָתֵם,,1,verse 5: word boundaries unclear due to image quality,"000026.png, 000028.png"
acts,3,10,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000026.png,וַיְדַעֻהוּ כִּי הוּא הוּא אֲשֶׁר יָשַׁב אֶצְרְקֵהוּ הַנָּשָׁר וְהַיָּפֶה שַׁעַר הַמִּקְדָּשׁ הַנִּקְרָא הַמְּהֻדָּר עַל־אֲשֶׁר קָרָהוּ,,1,verse 10: word 'אוֹר' uncertain - may be 'אֲשֶׁר',"000026.png, 000028.png"
acts,3,11,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000026.png,וּבְהִתְאַפֵּס בַּפִּסֵּחַ אֲשֶׁר נִרְפָּא רַבַּבְפָה וִיהוֹיָכֵן נָתַן אֱלֹהִים כָּל־הָעָם בָּאָלֹם נִקְרָא שְׁלֹמֹה תִּתְמַהּוּ,,2,verse 11: initial word difficult to parse due to ornamented letter | verse_11_middle_section,"000026.png, 000028.png"
acts,3,20,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000032.png,אֲשֶׁר יָבוֹא עֵת דִּוְשָׁן וְהִתְחַלְּדוּתִיכֶם וְהִתִּי עוֹלָם בַּחִיקִי הַמְּבֹארִים עַשְׂבֵּעַ שְׁמָעוֹת אֶת־פְּנֵי־אֱלֹהִים וְיִשְׁלַח אֶת יֵשׁוּעַ אֲשֶׁר מִקֶּדֶם מִקְדָּם אֶת־יֵשׁוּעַ הַנֵּקְשָׁע,,1,verse_20_complex_vocalization,000032.png
acts,3,22,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000032.png,וּמֹשֶׁה אָמַר לַאֲבוֹתֵינוּ כִּי נָבִיא לָכֶם מִקֶּרֶבְכֶם יָקִים יְהוָֹה אֱלֹהֵיכֶם מֵאֲחֵיכֶם בְּמוֹנִי יֵלֵךְ הִשְׁמָעוּ וְכֹל אֲשֶׁר יְדַבֵּר אֲלֵיכֶם,,1,verse_22_long_complex,000032.png
acts,6,7,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000064.png,וַדְּבַר אֱלֹהִים בָּדָה לְרַבּוֹת וּמִסְפַּר הַתַּלְמִידִים בִּירוּשָׁלָיִם רַב שׁוֹמְעִים מְאוֹד וְקָהָל רַב שׁוֹמְעִים,,1,Word boundaries in verse 7 are challenging due to printing quality,000064.png
acts,7,30,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000076.png,וּבִמְלֹאת שִׁתִּים עֹוד אַרְבָּעִים שָׁנָה נִרְאָה אֵלָיו בְּמַלְאַךְ הָ' סִינָי מִדְבַּר יְהוָה כְּלַפַּת אֵשׁ מֵהַסְּנֶה,,2,"וּבִמְלֹאת - first word unclear, possible reading | שִׁתִּים - second word unclear",000076.png
acts,7,51,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000084.png,עַם קְשֵׁה עֹרֶב עַרְלֵי לֵב וְעַרְלֵי אָזְנַיִם אַתֶּם תָּמִיד מְרִיתֶם אֶת־רוּחַ הַקֹּדֶשׁ כָּכֶם כַּאֲבוֹתֵיכֶם,,1,עֹרֶב - possible עֹרֶף,000084.png
